Vg_biasarray,Vs_biasarray,F_biasarray,df_biasarray,dg_biasarray
-1.35,0.14254411481664034,-2.0810779165046276e-11,-8.852244781210533,9.200918160352533
-1.4,0.1387383420174831,-1.7897852865319848e-11,-8.122738306688875,7.916635584744344
-1.45,0.13466052983415577,-1.52196621634852e-11,-7.452177069712297,6.734347224985804
-1.5,0.13027161537152446,-1.2774354201086298e-11,-6.840092276108365,5.653670718496394
-1.55,0.1255240329287405,-1.0559766825850976e-11,-6.285936342084135,4.674042599234175
-1.6,0.12035923195122207,-8.573349950806045e-12,-5.78906275997249,3.7946825398399806
-1.65,0.11470429970743827,-6.81206000674627e-12,-5.348699074221811,3.014545468678815
-1.7,0.10846732209068449,-5.272216091633584e-12,-4.963910071335877,2.332256436825574
-1.75,0.10153097089068898,-3.949300946877081e-12,-4.633546921750221,1.7460206913009182
-1.8,0.09374364088814809,-2.8376819055306022e-12,-4.3561760429834955,1.2534979252926122
-1.85,0.08490736005927652,-1.930216143674792e-12,-4.129978829217119,0.8516250330270122
-1.9,0.07476195049037669,-1.2176928300967885e-12,-3.952610609670989,0.5363667842432647
-1.95,0.06296635343540559,-6.880621267803343e-13,-3.821006661581901,0.30237293369212576
-2.0,0.04908264652585682,-3.254412792687778e-13,-3.7311326259004645,0.14253729047669844
-2.05,0.032579548142554024,-1.0905844867910986e-13,-3.6777158866689095,0.04752408573804831
-2.1,0.012890786801469168,-1.2735675148824056e-14,-3.65409506210732,0.00550585317356558
-2.15,-0.010431692236888876,-6.158266824349706e-15,-3.6524778894069976,0.002629044591577197
-2.2,-0.03749984698148553,-5.901901259147833e-14,-3.6648962014526476,0.024719876270045727
-2.25,-0.067977510882525,-1.466503035812049e-13,-3.6846312389286986,0.059825150674971364
-2.3,-0.10121698334044331,-2.531633467203649e-13,-3.707202351899472,0.09997348648476737
-2.35,-0.1365020442773137,-3.7049947525492005e-13,-3.7303466086214634,0.14113926849073882
-2.4,-0.17311718142779692,-4.965751098689832e-13,-3.753559955008272,0.18242587056892942
-2.45,-0.2100117269688609,-6.378756199558293e-13,-3.7785200190855583,0.2268168259662061
-2.5,-0.2448645931326831,-8.232006775151003e-13,-3.812248630439012,0.28679865894301504
-2.55,-0.27405941933083666,-1.1162251605502632e-12,-3.871473286393494,0.39211123269526316
-2.6,-0.29612579035784375,-1.579675095773601e-12,-3.9761090568919495,0.5781403895545456
-2.65,-0.3126264764520425,-2.241317947282851e-12,-4.137081505447573,0.8642469750393448
-2.7,-0.32545825648282756,-3.1105245942858466e-12,-4.35672362068748,1.2544705402216627
-2.75,-0.33586907403043315,-4.192647169131343e-12,-4.633712290610297,1.7463142460560912
-2.8,-0.34460543054634857,-5.4921420464623424e-12,-4.966153165397532,2.3362354224353266
-2.85,-0.3521256198593805,-7.012913576776436e-12,-5.353202064044327,3.0225265989857646
-2.9,-0.3587253556733418,-8.758348075394658e-12,-5.795224051391525,3.8055924747582184
-2.95,-0.3646049394360074,-1.0731360103655674e-11,-6.2931224609020955,4.686753589939403
-3.0,-0.36990585681446053,-1.293445556210205e-11,-6.8478336817397345,5.667347576731161
